ShortName,CIN,Address,SateCode,VAT,Name
L.P.ELEKTRO S.R.O.,25547461,BRNO,CZE,CZ25547461,L.P.Elektro s.r.o.
BOS HK A.S.,40232409,PRAHA SMICHOV,CZE,CZ40232409,BOS HK a.s.
ARVAL CZ S.R.O.,26726998,PRAHA,CZE,CZ26726998,ARVAL CZ s.r.o.
ALCOM ALVAL,25352822,NUPAKY,CZE,CZ25352822,Alcom Alval
"SEMINARIA, S.R.O.",26426218,PRAHA,CZE,CZ26426218,"Seminaria, s.r.o."
"FLAIR, A.S.",61859915,PRAHA 4,CZE,CZ61859915,"Flair, a.s."
NAKO KOLIN S.R.O.,27205193,KUTNÁ HORA,CZE,CZ27205193,NAKO Kolín s.r.o.
MICHAL RAIS,87597195,PROSTĚJOV,CZE,CZ7011195345,Michal Rais
BALPACK S.R.O.,25124412,DOLNÍ  BŘEŽANY,CZE,CZ25124412,BALPACK s.r.o.
TECTRA,14892316,PRAHA 20 - HORNÍ POČERNICE,CZE,CZ14892316,TECTRA a.s.
SQS VLAKNOVA OPTIKA,60913037,NOVÁ PAKA,CZE,CZ60913037,SQS vláknová optika a.s.
PENTA TRADING,43005136,PRAHA,CZE,CZ43005136,"PENTA TRADING, spol.s r.o."
"NAVRATIL, SPOL. S R.",25826867,GRYGOV,CZE,CZ25826867,"Navrátil, spol. s r.o."
PRAGUE BRITISH INTER,27653048,PRAHA,CZE,CZ27653048,"Prague British International School, s.r.o."
MESSENGER A.S.,27575896,PRAHA,CZE,CZ27575896,MESSENGER a.s.
BOUKAL S.R.O.,4229282,LITVÍNOV 3,CZE,CZ04229282,BOUKAL s.r.o.
WESTECH CZ S.R.O.,2396718,OSTRAVA,CZE,CZ02396718,WESTech CZ s.r.o.
GRAFTIS - GRAFIKA A,3162800,PRAHA,CZE,CZ03162800,"GRAFTIS - grafika a tisk, s.r.o."
FRANTISEK PACHOLIK C,16112661,PRAHA 4,CZE,CZ6105081807,František Pacholík Cestovní kancelář
LES CESKA REPUBLIKA,67776396,Praha 10,CZE,CZ67776396,LES Česká republika a Slovensko z. s.
USTAV PRO JAZYK CES1,68378092,PRAHA 1,CZE,CZ68378092,"Ústav pro jazyk český AV ČR, v. v. i."
LOGFLEX CZ S.R.O.,28496850,ŘÍČANY,CZE,CZ28496850,Logflex CZ s.r.o.
DKV EURO SERVICE + C,,RATINGEN,DEU,DE119375450,DKV EURO SERVICE + CO. KG
LANCOMAT S.R.O.,27929795,PRAHA 9,CZE,CZ27929795,LANCOMAT s.r.o.
"MEDIM, SPOL.S R.O.",48953041,LÍBEZNICE,CZE,CZ48953041,"Medim, spol.s r.o."
ATOS IT SOLUTIONS AN,44851391,PRAHA 4,CZE,CZ44851391,"Atos IT Solutions and Services, s.r.o."
MAREK INDUSTRIAL A.S,26928779,BRNO,CZE,CZ26928779,Marek Industrial a.s.
AON CENTRAL AND EAST,47123672,PRAHA,CZE,CZ47123672,Aon Central and Eastern Europe a.s.
ALPTREND CENTRUM S.R,25962833,TRUTNOV,CZE,CZ25962833,Alptrend Centrum s.r.o.
GUMEX,49975366,STRÁŽNICE,CZE,CZ49975366,"GUMEX, spol. s r.o."
LMC,26441381,Praha 8,CZE,CZ26441381,LMC s.r.o.
RADEK RACHAC,48669954,PRAHA,CZE,CZ7108291443,Radek Rachač
SIGMA-ALDRICH S.R.O.,45794171,PRAHA,CZE,CZ45794171,Merck Life Science spol. s r.o.
RITTAL CZECH,26687356,ZDIBY,CZE,CZ26687356,Rittal Czech s.r.o.
DRAGER SAFETY S.R.O.,26700778,ČESTLICE,CZE,CZ26700778,Dräger Safety s.r.o.
SKRIVANEK,60715235,PRAHA 4 - PODOLÍ,CZE,CZ60715235,Skřivánek s.r.o.
ALCOMEX SPRING WORKS,25592742,MORAVANY U BRNA,CZE,CZ25592742,ALCOMEX SPRING WORKS s.r.o.
IVANA KUBICKOVA - T.,7861541,PRAHA,CZE,CZ07861541,"Ivana Kubičková - T.E.P., s.r.o."
"M - CATERING, SPOL.",25099671,PRAHA,CZE,CZ25099671,"M - CATERING, spol. s r.o."
JERABY JILOVE S.R.O.,48586641,JÍLOVÉ U PRAHY,CZE,CZ48586641,JEŘÁBY JÍLOVÉ s.r.o.
"MGR. MICHAL VRAJIK,",2484005,PRAHA,CZE,CZ8611184571,"Mgr. MICHAL VRAJÍK, advokát"
SWAGELOK BERCON,2753103,PLZEŇ,CZE,CZ02753103,Swagelok Bercon
EYE CARE CENTRUM S.R,24702846,DOLNÍ BŘEŽANY,CZE,,EYE care centrum s.r.o.
KOVE TOOLS S.R.O.,24851523,KOLÍN,CZE,CZ24851523,KOVE TOOLS s.r.o.
DELONG INSTRUMENTS,46903879,BRNO,CZE,CZ46903879,DELONG INSTRUMENTS a.s.
CONRAD ELECTRONIC,28218434,PRAHA,CZE,CZ28218434,"Conrad Electronic Česká republika, s.r.o."
MAGDALENA VYSKOVSKA,64914011,PRAHA 1,CZE,CZ6556172139,Mgr. Bc. Magdaléna Vyškovská
VODAFONE CZECH REPUB,25788001,PRAHA 10,CZE,CZ25788001,Vodafone Czech Republic a.s.
"FESTO, SPOL. S R.O.",564737,PRAHA 4 - MODŘANY,CZE,CZ00564737,"FESTO, spol. s r.o."
CESKA LEKARNA HOLDIN,28511298,BRNO,CZE,CZ28511298,"ČESKÁ LÉKÁRNA HOLDING,  a.s."
STALYS CNC S.R.O.,6294243,STARÁ LYSÁ,CZE,CZ06294243,STALYS CNC s.r.o.
VSK PROFI,25231359,PLZEŇ,CZE,CZ25231359,VSK Profi s.r.o.
TOMAS SVITEK,12665312,PRAHA,CZE,CZ6511270755,Tomáš Svitek
ELKAM LIGHTING S.R.O,27761266,KRAVAŘE,CZE,CZ27761266,ELKAM lighting s.r.o.
PRAZSKA ENERGETIKA,60193913,PRAHA 10,CZE,CZ60193913,"Pražská energetika,a.s."
FABORY CZ HOLDING S.,25357425,ŠLAPANICE,CZE,CZ25357425,FABORY CZ Holding s.r.o.
PIVOVAR A RESTAURACE,25677284,PRAHA,CZE,CZ25677284,PIVOVAR A RESTAURACE U FLEKŮ s.r.o.
FOTON S.R.O.,25948393,NOVÁ PAKA,CZE,CZ25948393,FOTON s.r.o.
SMC INDUSTRIAL AUTOM,62909070,BRNO,CZE,CZ62909070,SMC Industrial Automation CZ s.r.o.
AVACOM S.R.O.,25632400,SMEČNO,CZE,CZ25632400,AVACOM s.r.o.
ECM ECO MONITORING S,48588563,DOBRÁ,CZE,CZ48588563,ECM ECO MONITORING spol. s r.o.
"INTEREXPERT BOHEMIA,",48112500,PRAHA,CZE,CZ48112500,"INTEREXPERT BOHEMIA, spol. s r.o."
"HILTI CR, SPOL S R.",41693132,PRŮHONICE,CZE,CZ41693132,"HILTI ČR, spol s r. o."
VOX A.S.,27204987,PRAHA 1,CZE,CZ27204987,VOX a.s.
GESTO COMMUNICATIONS,25635808,PRAHA 10,CZE,CZ25635808,Gesto Communications spol.s r.o.
CESNET,63839172,PRAHA 6,CZE,CZ63839172,"CESNET, z.s.p.o."
EUROPEAN CONTRACT LO,42197031,HRADEC KRALOVE,CZE,CZ42197031,EUROPEAN CONTRACT LOGISTICS CR
ALFA IN A.S.,25535366,NOVÁ VES,CZE,CZ25535366,ALFA IN a.s.
ALTERNETIVO S.R.O.,25098314,PRAHA,CZE,CZ25098314,Alternetivo s.r.o.
CENTRAL FLUIDSYSTEMS,8637199,PLZEŇ,CZE,CZ08637199,Central Fluidsystems s.r.o.
LANGUAGE HELP S.R.O.,4584635,DOLNÍ BŘEŽANY,CZE,,Language Help s.r.o.
PRAZSKA PLYNARENSKA,60193492,PRAHA 1 - NOVÉ MĚSTO,CZE,CZ60193492,"Pražská plynárenská, a.s."
HLB REVISORSGRUPPEN,,MALMO,SWE,SE556575528601,HLB REVISORSGRUPPEN
HKCM ENGINEERING E.K,,ECKERNFOERDE,DEU,DE814756521,HKCM ENGINEERING E.K.
WUHAN UNION OPTIC IN,,Wuhan,CHN,,Wuhan Union Optic Inc
UQG OPTICS LIMITED The Norman Industrial Estate,,"MILTON, CAMBRIDNGE",GBR,GB214569659,UQG OPTICS LIMITED
VARADIS,,CORK,IRL,IE3597898SH,VARADIS
"AS PHOTONICS , LLC",,ALBUQUERQUE,USA,,"AS PHOTONICS , LLC"
ORTAL TOURS,,Tel Aviv,ISR,,ORTAL TOURS
LASTRONICS GMBH,,Jena,DEU,DE265518521,Lastronics GmbH
ADVACAM S.R.O.,,PRAHA,CZE,CZ01732731,ADVACAM s.r.o.
DANFYSIK A/S,,TAASTRUP,DNK,DK31934826,Danfysik A/S
AXON CABLE & INTERCO,,Szegedi,HUN,HU12527478,AXON cable & interconnect
FANTINI SUD S.P.A.,,Anagni,ITA,IT01691740607,Fantini Sud S.p.A.
AXIS PHOTONIQUE INC.,1146398186,QUÉBEC,CAN,,Axis Photonique Inc.
OPTICAL SURFACES LTD,,SURREY,GBR,GB528787689,Optical Surfaces Ltd.
AXO DRESDEN GMBH,,DRESDEN,DEU,DE223910711,AXO DRESDEN GmbH
C SYSTEM CZ A.S.,27675645,BRNO,CZE,CZ27675645,C SYSTEM CZ a.s.
UNIVERSITY OF GOTHEN,,Gothenburg,SWE,SE202100315301,University of Gothenburg
CONFORMAT,,RUEIL-MALMAISON,FRA,FR69331663195,CONFORMAT
SMARACT GMBH,,OLDENBURG,DEU,DE244572307,SmarAct GmbH
RP PHOTONICS AG,,FRAUENFELD,CHE,CHE141173265,RP PHOTONICS AG
STATCLEAN TECHNOLOGY,,Singapore,SGP,,STATCLEAN TECHNOLOGY PTE LTD.
ANAMET S.R.O.,25652150,Praha 5,CZE,CZ25652150,ANAMET s.r.o.
LABTECH S.R.O,44014643,BRNO,CZE,CZ44014643,LABTECH s.r.o.
"SARKYS, S. R. O.",,PREŠOV,SVK,SK2022354290,"SARKYS, s. r. o."
JFA - JOHAN FISCHER,,Aschaffenburg,DEU,DE132064151,JFA - Johan Fischer Aschaffenburg  Präzisionswerk GmbH
IXBLUE,,LANNION,FRA,FR09433185121,iXblue
EVANS CAPACITOR COMP,,EAST PROVIDENCE,USA,,EVANS CAPACITOR COMPANY
GREENFIELD TECHNOLOG,,MASSY,FRA,FR35440067312,Greenfield Technology
FEI EUROPE B.V.1,,EINDHOVEN,NLD,CZ681073248,FEI Europe B.V.1
LAYERTEC GMBH,,Mellingen,DEU,DE313635443,Layertec GmbH
KOVMIG S.R.O.,,Prešov,SVK,SK2121290875,KOVMIG S.R.O.
WIGNER RESEARCH CENT,,BUDAPEST,HUN,HU15327064,Wigner Research Centre of the Hungarian Academy Of Sciences
EDLIN,26130386,LIBIŠ,CZE,CZ26130386,EDLIN s.r.o.
KOREA ELECTRO-OPTICS,,INCHEON,KOR,,KOREA ELECTRO-OPTICS CO
LUXIUM SOLUTIONS,,SAINT-PIERRE LESNEMOURS,FRA,FR89316263029,LUXIUM SOLUTIONS
ULTRAFAST INNNOVATIO,,Garching,DEU,DE266162317,UltraFast Innovations GmbH
ALTMANN ANALYTIK GMB,,"MUNICH, GERMANY",DEU,DE815171960,ALTMANN ANALYTIK GMBH
CANVA PTY LTD.,,SURRY HILLS,AUS,,CANVA PTY LTD.
THERMOFISHER,,Eindhoven,NLD,NL805698656B01,ThermoFisher
OROLIA SPAIN S.L.U.,,Granada,ESP,ESB18763979,OROLIA SPAIN S.L.U.
HOFFMANN NURNBERG GM,133555762,Nürnberg,DEU,DE133555762,Hoffmann Nurnberg GmbH
ZOOM VIDEO COMMUNICA,,San Jose,USA,,ZOOM Video Communications Inc
PCE DEUTSCHLAND GMBH,,Meschede,DEU,DE815028605,PCE Deutschland GmbH
HOSITRAD HOLLAND,32084750,HOEVELAKEN,NLD,NL809569024B01,Hositrad Holland B.V.
VAB VAKUUM ANLAGENBA,,ELMSHORN,DEU,DE134790882,VAB VAKUUM ANLAGENBAU GMBH
"JAKAR ELECTRONICS Tel./fax: 596311899, 596311114",28582616,KARVINÁ FRYŠTÁT,CZE,CZ28582616,"Jakar Electronics, spol. s r.o."
ALPHALAS GMBH,,GOTTINGEN,DEU,DE188544206,ALPHALAS GMBH
KURT J. LESKER COMPA,,Dresden,DEU,DE250452616,Kurt J. Lesker Company GmbH
MDPI AG,,BASEL,CHE,CHE-115.694.943,MDPI AG
SPIE,,BELLINGHAM,USA,,SPIE
SCHOTT AG,,Grunenplan,DEU,DE811120270,SCHOTT AG
ARAMFIX,,GEERTRUIDENBERG,NLD,NL861224383B01,ARAMFIX
OXALIS LASER,,PARIS,FRA,FR13400083937,OXALIS LASER
FAMAGA GROUP OHG,,LUEBECK,DEU,DE268455112,FAMAGA GROUP OHG
APERTURE OPTICAL SCI Meriden Connecticut,,Connecticut,USA,,Aperture Optical Sciences Inc
UNIVERSITE DE STRASB,,STRASBOURG,FRA,FR44130005457,UNIVERSITE DE STRASBOURG
"RAY SERVICE, A.S.",27756203,STARÉ MĚSTO,CZE,CZ27756203,"Ray Service, a.s."
TRADE INN,,Hoja,ESP,ES-B-17527524,TRADE INN
QVERLEAF - DIGITAL S,,London,GBR,,QVERLEAF - DIGITAL SCIENCE UK LIMITED
STANFORD RESEARCH SY,,SUNNYVALE,USA,,Stanford Research Systems
LANGER EMV TECHNIK G,,BANNEWITZ,DEU,DE191552300,LANGER EMV TECHNIK GMBH
BOND OPTICS LLC,,LEBANON,USA,,Bond Optics LLC
PHASICS,,FRANCE,FRA,FR43448755637,PHASICS
AMSTERDAM SCIENTIFIC,52038408,Amsterdam,NLD,NL850273389B01,Amsterdam Scientific Instruments B.V.
"AV ENGINEERING, A.S.",48908142,ZLÍN,CZE,CZ48908142,"AV ENGINEERING, a.s."
FS.COM GMBH,,Neufahrn bei München,DEU,DE313377831,FS.COM GMBH
"TECHNODAT ELEKTRO, S",25558218,ZLIN,CZE,CZ25558218,"Technodat Elektro, s.r.o."
SI.A.TEL SRL,,TREMESTIERI ETNEO,ITA,IT03375730870,SI.A.TEL SRL
DIMENSION TECHNOLOGY,,Shenzhen,CHN,,DIMENSION TECHNOLOGY CO LTD
TERAXION INC.,,QUEBEC,CAN,,TERAXION Inc.
ROCHLING INDUSTRIAL,26439441,TÁBOR,CZE,CZ26439441,Röchling Industrial Tábor s.r.o.
ARUN MICROELECTRONIC,,Pulborough,GBR,GB322147690,Arun Microelectronics Ltd.
EDMUND OPTICS L,,York,GBR,GB721383944,Edmund Optics L.T.D.
PADDLE.COM MARKET LT,,London,GBR,,PADDLE.COM MARKET LTD
HALLIBURTON ENERGY S,,DALLAS,USA,,"Halliburton Energy Services, Inc."
ROENTDEK HANDELS GMB,,KELKHEIM-RUPPERTSHAIN,DEU,DE113875060,ROENTDEK HANDELS GMBH
TECHNICKA UNIVERZITA,,Košice,SVK,SK2020486710,TECHNICKÁ UNIVERZITA V KOŠICIACH
AVESTIN EUROPE GMBH,,MANNHEIM,DEU,DE813474744,Avestin Europe GmbH
BCR BETONTECHNIK GMB,,Ansfelden,AUT,ATU61937667,BCR Betontechnik GmbH
LIGHTSTAR TECHNOLOGY,,SHENZHEN,CHN,,Lightstar Technology Limited
TECHSOFT ENGINEERIN,44266537,PRAHA 4,CZE,CZ44266537,"TechSoft Engineering, s.r.o."
KVANT,31398294,Bratislava,SVK,SK2020330565,KVANT spol. s r.o.
SCHNEEBERGER GMBH,,HÖFEN/ENZ,DEU,DE144605286,Schneeberger GmbH
"TED PELLA, INC.",,REDDING,USA,,"Ted Pella, Inc."
KVANT LASERS S.R.O.,,BRATISLAVA,SVK,SK2120636936,KVANT LASERS S.R.O.
OPTICA OSA,,Washington,USA,,OPTICA OSA
JOHN WILEY,,WEST SUSSEX,GBR,GB376766987,JOHN WILEY AND SONS LIMITED
IDEAL VACUUM PRODUCT,,Albuquerque,USA,,IDEAL VACUUM PRODUCTS LLC
XMIND LIMITED,,HONG KONG,HKG,,XMind Limited
LAWRENCE LIVERMORE N,,LIVERMORE,USA,,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC"
DIGI-KEY ELECTRONICS,,THIEF RIVER FALLS,USA,DE239975861,Digi-Key ELECTRONICS - DE
MDPI,,"BASEL, SWITZERLAND",CHE,CHE115694943,MDPI
MIN YANG,,BRUSSELS,BEL,,MIN YANG
KAREL MAJER,,DOLNÍ BŘEŽANY,CZE,,Karel Majer
MACFORUM AB,,Göteborg,SWE,SE556435968401,Macforum AB
HYDAC INTERNATIONAL,,FRIEDBERG,DEU,DE814400498,HYDAC INTERNATIONAL H.I.B.SYSTEMTECHNIK gmbh
DEEPL SE,,Cologne,DEU,DE349242045,DEEPL SE
KENES INTERNATIONAL,,Geneva,CHE,,KENES INTERNATIONAL ORGANIZERS OF CONGRESSES LTD.
AVS NATIONAL OFFICE,,New York,USA,,AVS National Office (Headquarters)
ADVATECH UK LIMITED,,WOODFORD GREEN,GBR,GB225223248,Advatech UK Limited
PUTZ GMBH,,TAUNUSSTEIN,DEU,DE111361591,PUTZ GmbH + Co.Folien KG
FIAS,,Biedermannsdorf,AUT,ATU67517136,FIAS
SMARTCAD S.R.O,,Bratislava,SVK,SK2022818457,SMARTCAD s.r.o
LEVENDIG/DSGN,,.,NLD,NL003263082B64,Levendig/dsgn
MICRO TO NANO,,HAARLEM,NLD,NL854754829B01,MICRO TO NANO
VINCENT ASSOCIATES,,Rochester,USA,,VINCENT ASSOCIATES
POLSKIE ROWARZYSTWO,,Krakow,POL,PL6771088378,PTPS POLSKIE ROWARZYSTWO PROMOENIOWANIA SYNCHROTRONOWEGO
HOTEL INTERNATIONAL,46974571,BRNO,CZE,CZ46974571,"Hotel International Brno, a.s."
NATIONAL PHOTOCOLOR,,New York,USA,,NATIONAL PHOTOCOLOR
FATH COMPONENTS KFT,,BUDAÖRS,HUN,HU13539049,FATH COMPONENTS KFT
BERGMANN MESSGERATE,,Murnau,DEU,DE328421092,Bergmann Messgerate Entwicklung KG
GIDS GMBH,,MANNHEIM,DEU,DE285084200,GIDS GmbH
TECNOTRADE OBRABECI,26964937,KUŘIM,CZE,CZ26964937,TECNOTRADE OBRÁBĚCÍ STROJE s.r.o.
TIMEMACHINES INC.,,Lincoln,USA,,TIMEMACHINES INC.
BERGOZ INSTRUMENTATI,,SAINT GENIS POUILLY,FRA,FR88414997130,Bergoz Instrumentation SAS
UNIVERSITY OF SOUTHA,,SOUTHAMPTON,GBR,,University of Southampton
ROCKWELL AUTOMATION,48590631,PRAHA,CZE,CZ48590631,Rockwell Automation s.r.o.
TOPAG,,Darmstadt,DEU,DE156975338,TOPAG Lasertechnik
WEBCRAFT GMBH,,Gottmadingen,DEU,DE274102362,WEBCRAFT GMBH
ANSYS GERMANY GMBH,,Darmstadt,DEU,DE111630030,ANSYS Germany GmbH
CIVIDEC INSTRUMENTAT,,VIENNA,AUT,ATU65301577,CIVIDEC Instrumentation BmbH
SISTEMA CONGRESSI S.,,Padova,ITA,IT01934170281,SISTEMA CONGRESSI S.R.L.
O'REILLY,,SEBASTOPOL,USA,,O´Reilly
ZEBRA SYSTEMS S.R.O.,47675462,OSTRAVA-PORUBA,CZE,CZ47675462,Zebra systems s.r.o.
M-STUMPF GMBH,,Langquaid,DEU,DE326751828,M-Stumpf GmbH
INSIGHT OUTSIDE VIVE,,Saint Martin d´ Héres Cedex,FRA,FR68481413961,INSIGHT OUTSIDE VIVEZ L´événement
PROTECT-LASERSCHUTZ,,Nurnberg,DEU,DE814420802,PROTECT-Laserschutz GmbH
PHYSICS TODAY JOBS,,SUITE,USA,,Physics today Jobs
TEBUBIO SAS,,LE PERRAY,FRA,FR64572159432,Tebubio SAS
ACOTA LTD Mile End Industrial Estate,,Oswestry,GBR,GB771278413,ACOTA Ltd
AAAS/SCIENCE,,Washington,USA,,AAAS/Science
RIVERHAWK CO,,NEW HARTFORD,USA,,RIVERHAWK CO
MAX PLANCK INSTITUTE,,Dresden,DEU,DE129517720,Max Planck Institute for Physics
BIO-CLEAN EQUIPMENT,,SURREY,GBR,GB644487903,BIO-CLEAN EQUIPMENT SALES Ltd
SPOLOCNOST VEREJNOHO,,BRATISLAVA,SVK,SK2021908900,"SPOLOČNOST VEREJNOHO ZDRAVOTNICTVA, OZ"
TRUMPF PHOTONICS,HRA727481,Unterfoehring,DEU,DE282770948,"TRUMPF Photonics, Inc."
RAVEO S.R.O.,29194156,OTROKOVICE,CZE,CZ29194156,RAVEO s.r.o.
HSI SP.Z.O.O.,,OPOLE,POL,PL7540334843,HSI Sp.z.o.o.
AMERICAN PHYSICAL SO,,COLLEGE PARK,USA,,American Physical Society
MAGYAR KEMIKUSOK EGY,,Budapest,HUN,,Magyar Kémikusok Egyesulete
CONGRESS BUSINESS TR,26424053,PRAHA,CZE,CZ26424053,CONGRESS BUSINESS TRAVEL
AAPPS-DPP OFFICE,,Ibaraki,JPN,,"CEO,DIV.OF PLASMA PHYSICS ASSOC. OF ASIA PACIFIC"
LASTRADA CATERING SP,,Kraków,POL,PL5130236927,"LaStrada Catering Sp., z o.o."
OPTICAL SOCIETY OF K,,South,KOR,,Optical Society of Korea
SYMPOSIA SRL.,,Roma,ITA,IT02078261001,SYMPOSIA SRL.
CENTER FOR PHYSICAL Head of Department of Laser Technologies,,VILNIUS,LTU,LT100005300110,Center for Physical Sciences and Technology
APS PHYSICS,,NY 11724-2213,USA,,APS physics
SPRINGER NATURE LIMI The Campus,,London,GBR,GB199440621,Springer Nature Limited
PREMIER FARNELL UK L,,Leeds,GBR,BE0864613854,PREMIER FARNELL UK LTD
ASU Knihovna,67985815,ONDŘEJOV,CZE,,"Astronomický ústav AV ČR, v.v.i."
ECLIM CONFERENCE - F,,Frascati,ITA,,ECLIM CONFERENCE - FRASCATI
"FOCTEK PHOTONICS, IN",,Fujian,CHN,,"FOCTEK PHOTONICS, Inc."
VACUUM FAB MOTION CO,,CORNAREDO,ITA,IT13222920152,VACUUM FAB MOTION CONTROL + OPTICS
UAB LIDARIS,,VILNIUS,LTU,LT100007025612,UAB Lidaris
BECK-SHOP.DE,,Munchen,DEU,DE129734754,BECK-SHOP.DE
FLASH PHOTONICS,,LARGO,USA,,FLASH PHOTONICS
RCK.GROUP,,GRANADA,ESP,ESB18091710,RCK.GROUP
LAURELL TECHNOLOGIE,,NORTH WALES,USA,,LAURELL TECHNOLOGIES CORPORATION
KARLSRUHE INSTITUTE,,Karlsruhe,DEU,,Karlsruhe Institute of Technology (KIT)
A.S.T.E CONGRESS S.R,,CIAMPINO,ITA,IT13922621001,A.S.T.E CONGRESS S.R.L.
SI SCIENTIFIC INSTRU,,Gilching,DEU,DE128244540,SI Scientific Instruments GmbH
ACCURION GMBH,,Goettingen,DEU,DE191455951,Accurion GmbH
ICPAMS,,Iasi,ROM,RO43220697,ICPAMS
MICRO-TEK CORPORATIO,,CINNAMINSON,USA,,MICRO-TEK CORPORATION
VORTEX PHOTONICS,,PLANEGG-MARTINSRIED,DEU,DE293192768,VORTEX PHOTONICS
ESRF Travel Office,,GRENOBLE,FRA,FR60338723919,ESRF
DEMACO HOLLAND BV,,Noord-Scharwoude,NLD,NL806360355B01,DEMACO Holland bv
VACUUMSCHMELZE GMBH,,Hanau,DEU,DE811148525,VACUUMSCHMELZE GMBH
HUTCHINS + HUTCHINS,,Waynesboro,USA,,HUTCHINS + HUTCHINS INC
SAINT-GOBAIN CRISTAU,,Courbevoie,FRA,FR89316263029,SAINT-GOBAIN CRISTAUX + DETECTEURS
EUROPEAN ORGANISATIO Headquartes  Germany,,GARCHING BEI MUENCHEN,DEU,,European Organisation for Astronomical Research in the Southerm Hemisphere
INFICON INC.,,New York,USA,,INFICON INC.
ROXTEC CZ S.R.O.,26744449,PRAHA,CZE,CZ26744449,Roxtec CZ s.r.o.
WAVELENGTH ELECTRONI,,BOZEMAN,USA,,WAVELENGTH ELECTRONICS
NORCADA,,EDMONTON,CAN,,Norcada
PROJEKT ELEKTRONIK Mess- und Regelungstechnik GmbH,,Berlín,DEU,DE136638101,Projekt Elektronik
INSTITUTE OF PHYSICS,,LONDON,GBR,,"Institute of Physics, Chinese Academy of Sciences"
APTARA SCILPRIS,,FALLS CHURCH,USA,,APTARA ScilPris
CAWO SOLUTIONS,,Schrobenhausen,DEU,DE814416767,CAWO SOLUTIONS
KENESE MARINA PORT,,KIKOTO UTCA,HUN,HU12360277,KENESE MARINA PORT
DEUTSCHES ELEKTRONEN,,HAMBURG,DEU,DE118714904,Deutsches Elektronen-Synchrotron DESY
LASER COMPONENTS,,OLCHING,DEU,DE128234062,LASER COMPONENTS
UAB BERSLAS IR POILS,,Vilnius,LTU,LT100004700211,UAB BERSLAS IR POILSIS
YOURMEMBERSHIP,,ST.PETERSBURG,RUS,,YOURMEMBERSHIP
STS COUPLING GMBH,,NIEDERNBERG,DEU,DE260900127,STS COUPLING GMBH
MTI CORPORATION,,RICHMOND,USA,,MTI Corporation
RTSAFE PC,,ATHENS,GRC,EL800591461,RTSAFE PC
FASE 20 S.L.,,Granada,ESP,ESB18093591,FASE 20 S.L.
LUXEL CORPORATION,,WASHINGTON,USA,,LUXEL CORPORATION
BEIJING LZY PHOTONIC,,Beijing,CHN,,"Beijing LZY Photonics Co., Ltd."
HILGENBERG GMBH,,MALSFELD,DEU,DE213695765,Hilgenberg GmbH
SHARING SOFTWARE KNO,,TREMESTIERI ETNEO,ITA,,Sharing Software Knowledge
KLM ROYAL DUTCH,,MIDDLESEX,GBR,IE4733172E,KLM Royal Dutch Airlines
AGS - 360 SOLUTIONS,,Uxbridge,GBR,GB562915134,AGS - 360 SOLUTIONS
EQ PHOTONICS GMBH,,ECHING,DEU,DE812922460,EQ Photonics GmbH
GEORGE JONES,,St Petersburg,USA,,George P.Johnos Company
CERN,,GENEVA,CHE,CHE.-108.967.751,CERN European Organisation Européenne pour la Recherche Nucléaire
WROCLAW UNIVERSITY,,WROCLAW,POL,8960005851,Wroclaw University of Science and Technology
"EVENT LAB, GMBH",,Leipzig,DEU,DE270380782,"EVENT LAB, GMBH"
ROBOTRENDY,,WARSZAWA,POL,PL9522137464,ROBOTrendy
LEONARDO ELECTRONICS,,"Tucson, AZ 85745",USA,,LEONARDO ELECTRONICS US INC
BOCKER SYSTEMELEKTRO,,Hamm,DEU,DE125242511,Böcker Systemelektronik
BERNHARD HALLE NACHF,,Belin,DEU,DE811638637,Bernhard Halle Nachfl. GmbH
CEA,,GIF-SUR-YVETTE CEDEX,FRA,FR43775685019,CEA-ET P COMMISSARIAT A L' ENERGIE ATOMIQUE E
"NATIONAL ENERGETICS,",,ROUND ROCK,USA,,"NATIONAL ENERGETICS, INC."
TIETZ VIDEO AND IMAG,,GAUTING,DEU,DE128247525,Tietz VIDEO AND IMAGE PROCESSING SYSTEMS
"OK TECHNICAL GROUP,",27587363,PRAHA,CZE,CZ27587363,"OK Technical Group, s.r.o."
TENNANT METALLURGICA,,DERBYSHIRE,GBR,GB308559736,Tennant Metallurgical Group Ltd.
SONNEK ENGINEERING S,28186087,PRAHA,CZE,CZ28186087,SONNEK Engineering s.r.o.
FLEET EVENTS GMBH,,HAMBURG,DEU,DE248082312,FLEET EVENTS GMBH
ELLIOT SCIENTIFIC LT,,Herts,GBR,GB540127778,Elliot Scientific Ltd A/C
STRATON AUTOMATION,,ECHIROLLES,FRA,FR09440713873,STRATON AUTOMATION
CLIFFS AK STEEL INTE,,BREDA,NLD,DE812542695,CLIFFS AK STEEL INTERNATIONAL B.V.
WIENER POWER ELECTRO,,BURSCHEID,DEU,DE123715792,WIENER POWER ELECTRONICS GMBH
FASTLITE,,Valbonne,FRA,FR78421543786,FASTLITE
AKCESORIA CNC,,AUGUSTOW,POL,PL8461491632,AKCESORIA CNC ELŽBIETA TARASZKIEWICZ
EMPIRE WEST INC.,,Graton,USA,,Empire West Inc.
CHINAPEPTIES CO LTD,,SHANGHAI,CHN,,ChinaPepties CO Ltd
